codeName	freq	angles
"1,2"	19450	0.04303552
"1,3"	15222	0.08607104
"1,8,4,3"	14372	0.19039956
"1,8,2,4,3"	7550	0.44879895
"1,8,4"	5269	0.059275337
"1,4"	5034	0.12910655
"1,4,14,3"	4823	0.3807991
"1,4,3"	3492	0.11855067
"1,4,14"	3471	0.17782602
"5,20"	3346	0.17214207
"1,8,4,14,3"	3051	0.8975979
"1,2,4,14,3"	2568	1.3463969
"1,2,3"	2482	0.23710135
"1,2,4,3"	2423	0.5711987
"1,8,2,4,14,3"	1909	3.1415927
"1,2,14"	1687	0.29637668
"1,14"	1683	0.2151776
"5,12"	1567	0.2582131
"1,2,4,14"	1447	0.7615982
"9,7"	1407	0.3012486
"2,3"	1033	0.34428412
"1,8,2,4"	1013	0.95199776
"1,2,4"	955	0.355652
"2,14"	580	0.38731962
"16,7"	524	0.43035513
"1,8,4,14"	514	1.1423973
"1,8"	495	0.47339064
"1,8,2,4,14"	434	1.7951958
"4,14"	305	0.51642615
"8,2"	303	0.55946165
"2,4"	279	0.60249716
"6,7"	249	0.64553267
"1,8,3"	248	0.41492733
"10,6"	236	0.6885682
"10,19"	232	0.7316037
"8,4"	231	0.7746392
"12,11"	211	0.8176747
"1,14,3"	189	0.47420266
"1,8,2"	177	0.533478
"13,10"	175	0.8607102
"10,15"	170	0.9037457
"8,2,4"	166	0.59275335
"2,4,14"	155	0.6520287
"8,4,14"	130	0.711304
"6,16"	129	0.9467812
"15,6"	114	0.9898167
"9,11"	112	1.0328523
"13,2"	109	1.0758878
"13,17"	104	1.1189233
"10,18"	96	1.1619588
"9,16"	90	1.2049943
"18,19"	83	1.2480298
"12,19"	79	1.2910653
"8,2,4,14"	79	1.3327968
"1,8,2,3"	74	1.5231963
"10,2"	71	1.3341008
"17,19"	71	1.3771363
"10,7"	70	1.4201719
"10,9"	63	1.4632074
"2,6"	61	1.5062429
"12,7"	60	1.5492784
"13,19"	59	1.5923139
"12,2"	58	1.6353494
"18,6"	57	1.6783849
"4,3"	52	1.7214204
"15,16"	50	1.7644559
"8,14"	49	1.8074914
"19,6"	46	1.8505269
"8,2,14"	46	0.77057934
"4,16"	44	1.8935624
"1,8,14"	41	0.82985467
"10,16"	40	1.936598
"13,7"	40	1.9796335
"13,16"	39	2.022669
"2,19"	39	2.0657046
"12,10"	38	2.10874
"1,2,14,3"	37	1.7135959
"2,4,3"	36	0.88913
"9,6"	36	2.1517756
"11,7"	32	2.194811
"1,7"	31	2.2378466
"12,17"	31	2.2808821
"9,15"	31	2.3239176
"15,7"	30	2.3669531
"1,8,14,3"	29	1.9039954
"5,7"	28	2.4099886
"8,4,3"	26	0.9484053
"5,2"	25	2.4530241
"1,8,2,14"	23	2.094395
"10,4"	23	2.4960597
"11,6"	22	2.5390952
"18,17"	22	2.5821307
"13,9"	21	2.6251662
"5,18"	20	2.6682017
"8,3"	20	2.7112372
"13,15"	19	2.7542727
"4,14,3"	19	1.0076807
"12,9"	18	2.7973082
"13,12"	18	2.8403437
"13,18"	18	2.8833792
"4,7"	18	2.9264147
"8,16"	18	2.9694502
"13,12,10"	17	1.066956
"2,4,14,3"	17	2.2847946
"8,2,4,3"	17	2.4751942
"13,10,19"	16	1.1262314
"13,6"	16	3.0124857
"12,18"	15	3.0555212
"18,11"	15	3.0985568
"8,2,4,14,3"	15	2.2439947
"10,11"	14	3.1415923
"12,16"	14	3.1846278
"19,7"	14	3.2276633
"8,4,14,3"	14	2.6655939
"12,1"	13	3.2706988
"12,6"	13	3.3137343
"20,7"	13	3.3567698
"5,12,20"	13	1.1855068
"8,2,3"	13	1.2447822
"10,3"	12	3.3998053
"11,19"	12	3.4428408
"14,3"	12	3.4858763
"2,11"	12	3.5289118
"8,10,17,4"	12	2.8559935
"1,9"	11	3.5719473
"13,3"	11	3.6149828
"18,16"	10	3.6580184
"20,6"	10	3.7010539
"8,7"	10	3.7440894
"9,19"	10	3.7871249
"13,4"	9	3.8301604
"5,12,11"	9	1.3040576
"6,16,7"	9	1.363333
"13,10,4"	8	1.4226084
"13,12,10,11"	8	3.0463932
"5,1"	8	3.873196
"5,16"	8	3.9162314
"5,19"	8	3.959267
"9,2"	8	4.0023026
"1,8,2,14,3"	7	2.6927936
"11,16"	7	4.045338
"12,20"	7	4.0883737
"14,6"	7	4.131409
"18,2"	7	4.1744447
"18,7"	7	4.21748
"3,6"	7	4.2605157
"5,10"	7	4.303551
"5,6"	7	4.3465867
"5,9"	7	4.389622
"1,10"	6	4.4326577
"13,10,17"	6	1.4818838
"13,20"	6	4.475693
"13,5"	6	4.5187287
"18,9"	6	4.5617642
"2,14,3"	6	1.5411592
"5,11"	6	4.6047997
"5,12,7"	6	1.6004345
"9,16,7"	6	1.6597099
"13,10,11"	5	1.7189853
"13,5,12,10"	5	3.2367928
"19,16"	5	4.6478353
"20,10"	5	4.690871
"10,15,6"	4	1.7782607
"10,2,14"	4	1.8375361
