codeName	freq	angles	radiusIs	lineX	lineY
"1, 2"	19450	0.04303552	240	-15.423259	19.279074
"1, 3"	15222	0.08607104	240	10.842704	22.180971
"1, 8, 4, 3"	14372	0.19039956	125	-15.352233	18.546976
"1, 8, 2, 4, 3"	7550	0.44879895	70	-11.354819	21.230862
"1, 8, 4"	5269	0.059275337	180	-9.204978	22.091946
"1, 4"	5034	0.12910655	240	13.287175	19.905695
"1, 4, 14, 3"	4823	0.3807991	125	4.9525843	23.414904
"1, 4, 3"	3492	0.11855067	180	-2.6917725	23.781086
"1, 4, 14"	3471	0.17782602	180	-5.072655	21.73995
"5, 20"	3346	0.17214207	240	15.620359	15.948719
"1, 8, 4, 14, 3"	3051	0.8975979	70	20.504187	8.828115
"1, 2, 4, 14, 3"	2568	1.3463969	70	8.9586	20.447512
"1, 2, 3"	2482	0.23710135	180	1.770904	22.253565
"1, 2, 4, 3"	2423	0.5711987	125	-11.02304	18.371735
"1, 8, 2, 4, 14, 3"	1909	3.1415927	15	7.1783733	20.186605
"1, 2, 14"	1687	0.29637668	180	-0.32344285	21.422499
"1, 14"	1683	0.2151776	240	-13.857363	16.190392
"5, 12"	1567	0.2582131	240	-5.7970295	20.507307
"1, 2, 4, 14"	1447	0.7615982	125	-8.6071415	19.378422
"9, 7"	1407	0.3012486	240	5.039305	20.596395
"2, 3"	1033	0.34428412	240	21.017574	-2.8049376
"1, 8, 2, 4"	1013	0.95199776	125	-2.418118	21.065584
"1, 2, 4"	955	0.355652	180	-10.760754	17.32755
"2, 14"	580	0.38731962	240	-0.29428968	20.394882
"16, 7"	524	0.43035513	240	-6.1580143	19.44522
"1, 8, 4, 14"	514	1.1423973	125	-11.002747	17.157005
"1, 8"	495	0.47339064	240	-0.22100568	20.380737
"1, 8, 2, 4, 14"	434	1.7951958	70	20.07491	-3.5243804
"4, 14"	305	0.51642615	240	-19.42092	5.875714
"8, 2"	303	0.55946165	240	-20.150255	2.3798006
"2, 4"	279	0.60249716	240	-4.568777	19.53248
"6, 7"	249	0.64553267	240	15.568257	12.64994
"1, 8, 3"	248	0.41492733	180	9.441376	17.698927
"10, 6"	236	0.6885682	240	19.896893	-2.550542
"10, 19"	232	0.7316037	240	2.3163333	19.925514
"8, 4"	231	0.7746392	240	-3.4388425	19.325577
"12, 11"	211	0.8176747	240	19.391193	3.0471687
"1, 14, 3"	189	0.47420266	180	11.3199	16.036316
"1, 8, 2"	177	0.533478	180	19.196573	-4.098189
"13, 10"	175	0.8607102	240	4.0849257	19.199402
"10, 15"	170	0.9037457	240	-10.773151	16.306734
"8, 2, 4"	166	0.59275335	180	17.032282	9.584977
"2, 4, 14"	155	0.6520287	180	-6.178017	18.541912
"8, 4, 14"	130	0.711304	180	-8.108799	17.716442
"6, 16"	129	0.9467812	240	18.7951	5.135095
"15, 6"	114	0.9898167	240	5.72179	18.624878
"9, 11"	112	1.0328523	240	-1.8949172	19.391602
"13, 2"	109	1.0758878	240	-0.9432444	18.86489
"13, 17"	104	1.1189233	240	14.9340315	11.564963
"10, 18"	96	1.1619588	240	17.86695	6.1274643
"9, 16"	90	1.2049943	240	10.4564295	15.7301235
"18, 19"	83	1.2480298	240	18.888454	0
"12, 19"	79	1.2910653	240	4.9634223	18.224659
"8, 2, 4, 14"	79	1.3327968	125	-10.435906	15.371993
"1, 8, 2, 3"	74	1.5231963	125	16.899027	7.7219954
"10, 2"	71	1.3341008	240	17.600742	-5.951493
"17, 19"	71	1.3771363	240	-12.525921	13.714496
"10, 7"	70	1.4201719	240	15.594951	-10.088785
"10, 9"	63	1.4632074	240	-17.794209	4.6647644
"2, 6"	61	1.5062429	240	-14.960823	10.703628
"12, 7"	60	1.5492784	240	-7.500891	16.578655
"13, 19"	59	1.5923139	240	18.02216	2.5133553
"12, 2"	58	1.6353494	240	6.8516116	16.85736
"18, 6"	57	1.6783849	240	17.19184	-5.962875
"4, 3"	52	1.7214204	240	5.92635	-17.130428
"15, 16"	50	1.7644559	240	0.8125014	-18.10837
"8, 14"	49	1.8074914	240	16.207508	6.2069554
"19, 6"	46	1.8505269	240	-9.329248	14.634712
"8, 2, 14"	46	0.77057934	180	-6.745765	15.9377985
"4, 16"	44	1.8935624	240	14.894718	8.812838
"1, 8, 14"	41	0.82985467	180	17.29715	0.5721521
"10, 16"	40	1.936598	240	8.3272705	15.171529
"13, 7"	40	1.9796335	240	-9.800225	14.085608
"13, 16"	39	2.022669	240	16.172514	5.7357235
"2, 19"	39	2.0657046	240	0.37745786	17.155355
"12, 10"	38	2.10874	240	15.616156	3.0757658
"1, 2, 14, 3"	37	1.7135959	125	10.741459	-11.74503
"2, 4, 3"	36	0.88913	180	-2.135906	-15.516938
"9, 6"	36	2.1517756	240	1.198173	-15.617359
"11, 7"	32	2.194811	240	-5.3653083	14.664584
"1, 7"	31	2.2378466	240	14.304437	6.2625575
"12, 17"	31	2.2808821	240	9.2641115	12.570313
"9, 15"	31	2.3239176	240	14.25276	-6.379295
"15, 7"	30	2.3669531	240	-11.443453	10.486353
"1, 8, 14, 3"	29	1.9039954	125	4.7660637	14.771623
"5, 7"	28	2.4099886	240	-1.0189115	15.159904
"8, 4, 3"	26	0.9484053	180	13.719702	6.5292144
"5, 2"	25	2.4530241	240	15.132019	1.3721776
"1, 8, 2, 14"	23	2.094395	125	10.296137	11.173648
"10, 4"	23	2.4960597	240	14.774754	-3.5450728
"11, 6"	22	2.5390952	240	-3.8555818	13.788198
"18, 17"	22	2.5821307	240	8.872221	-11.236709
"13, 9"	21	2.6251662	240	7.2486205	12.327602
"5, 18"	20	2.6682017	240	13.552915	-4.5640755
"8, 3"	20	2.7112372	240	12.98088	-5.4946156
"13, 15"	19	2.7542727	240	-3.2215033	13.722826
"4, 14, 3"	19	1.0076807	180	-5.7054996	-12.580292
"12, 9"	18	2.7973082	240	1.9682614	-13.6726885
"13, 12"	18	2.8403437	240	-7.9986644	11.249988
"13, 18"	18	2.8833792	240	7.5293417	11.569349
"4, 7"	18	2.9264147	240	-4.4609237	13.062963
"8, 16"	18	2.9694502	240	-13.126429	-3.854577
"13, 12, 10"	17	1.066956	180	-5.4190207	-12.561653
"2, 4, 14, 3"	17	2.2847946	125	-13.0110445	-4.088525
"8, 2, 4, 3"	17	2.4751942	125	-7.311017	-11.513139
"13, 10, 19"	16	1.1262314	180	13.222153	3.2993963
"13, 6"	16	3.0124857	240	-0.37200972	13.622518
"12, 18"	15	3.0555212	240	-12.247805	5.444066
"18, 11"	15	3.0985568	240	-13.103436	2.8189635
"8, 2, 4, 14, 3"	15	2.2439947	70	-7.702191	10.63443
"10, 11"	14	3.1415923	240	11.571082	-6.2068443
"12, 16"	14	3.1846278	240	-4.210267	12.437383
"19, 7"	14	3.2276633	240	-7.681968	10.448371
"8, 4, 14, 3"	14	2.6655939	125	8.551065	9.74989
"12, 1"	13	3.2706988	240	12.92298	1.0852035
"12, 6"	13	3.3137343	240	-8.174769	-10.031274
"20, 7"	13	3.3567698	240	-12.107498	-4.5674696
"5, 12, 20"	13	1.1855068	180	-11.953632	-4.7660313
"8, 2, 3"	13	1.2447822	180	-1.7394469	-12.750635
"10, 3"	12	3.3998053	240	9.209827	8.903531
"11, 19"	12	3.4428408	240	12.809394	0.11494376
"14, 3"	12	3.4858763	240	1.7912064	12.684059
"2, 11"	12	3.5289118	240	12.619611	-0.72840554
"8, 10, 17, 4"	12	2.8559935	125	2.362397	12.417899
"1, 9"	11	3.5719473	240	10.514885	-7.015862
"13, 3"	11	3.6149828	240	10.124331	6.8197403
"18, 16"	10	3.6580184	240	2.9515724	11.844796
"20, 6"	10	3.7010539	240	10.019058	-6.9734807
"8, 7"	10	3.7440894	240	-3.544093	-11.661329
"9, 19"	10	3.7871249	240	0.7855672	-12.162651
"13, 4"	9	3.8301604	240	-1.1707385	-11.826167
"5, 12, 11"	9	1.3040576	180	-3.2406056	-11.433605
"6, 16, 7"	9	1.363333	180	5.492587	-10.489463
"13, 10, 4"	8	1.4226084	180	-11.731539	1.6026156
"13, 12, 10, 11"	8	3.0463932	125	-6.5324397	-9.795417
"5, 1"	8	3.873196	240	9.652338	-6.742057
"5, 16"	8	3.9162314	240	-6.281888	-9.821446
"5, 19"	8	3.959267	240	-7.895423	-8.578181
"9, 2"	8	4.0023026	240	-10.113692	-5.3944697
"1, 8, 2, 14, 3"	7	2.6927936	70	-8.989565	-7.1115947
"11, 16"	7	4.045338	240	5.8648868	-9.664066
"12, 20"	7	4.0883737	240	1.9466487	-11.135602
"14, 6"	7	4.131409	240	-8.447552	-7.210829
"18, 2"	7	4.1744447	240	-3.673652	-10.4814825
"18, 7"	7	4.21748	240	-10.395575	3.5534396
"3, 6"	7	4.2605157	240	-3.434844	-10.435361
"5, 10"	7	4.303551	240	10.438021	3.4267533
"5, 6"	7	4.3465867	240	10.941924	-0.98448074
"5, 9"	7	4.389622	240	7.626329	7.907846
"1, 10"	6	4.4326577	240	9.9870405	-4.5775466
"13, 10, 17"	6	1.4818838	180	-1.7633793	10.682266
"13, 20"	6	4.475693	240	10.485389	2.6975813
"13, 5"	6	4.5187287	240	10.759017	-1.2099072
"18, 9"	6	4.5617642	240	3.8984	10.100634
"2, 14, 3"	6	1.5411592	180	-9.0761385	-5.716116
"5, 11"	6	4.6047997	240	9.076009	-5.716321
"5, 12, 7"	6	1.6004345	180	-6.3234735	-8.663945
"9, 16, 7"	6	1.6597099	180	-2.9614801	-10.309214
"13, 10, 11"	5	1.7189853	180	-8.839969	-6.013872
"13, 5, 12, 10"	5	3.2367928	125	4.6043096	-9.649458
"19, 16"	5	4.6478353	240	-8.524694	-6.0198865
"20, 10"	5	4.690871	240	6.29082	-8.326765
"10, 15, 6"	4	1.7782607	180	9.028931	-5.0757437
"10, 2, 14"	4	1.8375361	180	-0.4950359	-10.346001
"12, 10, 11"	4	1.8968115	180	-9.500959	4.0236197
"13, 1"	4	4.7339063	240	4.947491	-9.054284
"15, 11"	4	4.776942	240	-3.6173966	-9.619509
"17, 2"	4	4.8199773	240	-1.882492	-10.103303
"17, 3"	4	4.863013	240	-9.0877495	4.7101665
"19, 3"	4	4.9060483	240	9.129964	-4.627811
"20, 17"	4	4.949084	240	-6.4269896	-7.912538
"5, 17"	4	4.9921193	240	0.2924116	-10.189649
"5, 20, 9"	4	1.9560869	180	9.970416	0.20190613
"1, 2, 3, 6"	3	3.4271924	125	9.277604	3.6573246
"1, 3, 6"	3	2.0153623	180	2.3624146	-9.591456
"1, 4, 3, 6"	3	3.617592	125	3.9964888	-9.033555
"10, 17"	3	5.035155	240	9.629606	-1.9725635
"10, 2, 19"	3	2.0746377	180	8.127176	-5.528956
"12, 10, 17"	3	2.133913	180	-0.6780937	-9.654218
"12, 17, 19"	3	2.1931884	180	1.0156416	-9.624563
"12, 3"	3	5.0781903	240	8.468784	4.6843805
"12, 9, 7"	3	2.2524638	180	9.546577	-1.5895199
"13, 10, 2"	3	2.3117392	180	7.86128	-5.6448207
"13, 12, 10, 11, 19"	3	3.1415925	70	9.55985	0.47420943
"13, 12, 19"	3	2.3710146	180	4.365428	-8.518136
"13, 17, 3"	3	2.43029	180	-5.591404	7.5599356
"17, 11"	3	5.121226	240	8.578831	3.8496852
"17, 16"	3	5.1642613	240	7.580719	-5.563194
"17, 9"	3	5.207297	240	-6.5524783	-6.6617293
"2, 3, 6"	3	2.4895654	180	4.419437	-8.232993
"20, 9"	3	5.2503324	240	-1.778146	-9.173429
"5, 12, 10"	3	2.5488408	180	5.9268746	-7.2239704
"5, 15"	3	5.293368	240	-1.5987065	-9.145244
"5, 20, 7"	3	2.6081161	180	4.699902	-8.006389
"8, 10, 4"	3	2.6673915	180	8.852912	-2.795944
"8, 4, 16"	3	2.726667	180	0.22389098	-9.28123
"9, 4"	3	5.3364034	240	2.5454402	8.863954
"1, 10, 14"	2	2.7859423	180	-6.095269	-6.920739
"1, 16"	2	5.379439	240	-0.31085435	9.153627
"1, 2, 4, 3, 6"	2	3.5903914	70	9.09884	-1.0472078
"1, 4, 14, 6"	2	3.8079917	125	8.430396	-3.579656
"1, 8, 10, 2, 14"	2	4.0391903	70	4.3561077	8.056664
"1, 8, 2, 14, 6"	2	4.4879894	70	8.833122	-2.1624427
"10, 6, 16"	2	2.8452177	180	4.060492	8.137114
"11, 16, 7"	2	2.904493	180	-1.687053	8.93611
"12, 1, 2"	2	2.9637685	180	7.3385696	-5.37081
"12, 15"	2	5.4224744	240	2.1471126	-8.836862
"12, 16, 7"	2	3.0230439	180	-6.4129925	6.0492663
"12, 2, 3"	2	3.0823193	180	6.2127576	-6.254739
"13, 10, 11, 6"	2	3.9983914	125	6.991652	5.246579
"13, 11"	2	5.46551	240	6.2772245	-6.083274
"13, 12, 10, 18, 11"	2	4.9367886	70	4.3654103	7.5731745
"13, 16, 7"	2	3.1415946	180	-2.1855218	-8.463645
"13, 4, 3"	2	3.20087	180	7.4232063	-4.615821
"13, 5, 10"	2	3.2601454	180	4.112622	-7.713373
"13, 5, 10, 11"	2	4.188791	125	4.2211056	-7.5665746
"13, 8, 10"	2	3.3194208	180	6.5568733	-5.6637616
"17, 7"	2	5.5085454	240	0.86201453	8.541581
"18, 15"	2	5.551581	240	8.415075	1.6994586
"18, 16, 7"	2	3.3786962	180	8.000014	-3.1147144
"2, 11, 3"	2	3.4379716	180	4.8458023	7.0865984
"2, 14, 6"	2	3.497247	180	-8.443494	1.0041437
"20, 16"	2	5.5946164	240	6.53981	-5.4343157
"20, 16, 7"	2	3.5565224	180	8.016155	2.2668622
"4, 3, 6"	2	3.6157978	180	4.344829	7.107733
"5, 12, 16"	2	3.6750731	180	-1.1736108	8.247427
"5, 3"	2	5.637652	240	-7.994455	1.9948888
"5, 4"	2	5.6806874	240	8.153404	-1.18865
"8, 10"	2	5.723723	240	1.7648798	7.851271
"8, 14, 3"	2	3.7343485	180	7.8828387	1.618061
"8, 17, 4"	2	3.793624	180	8.022866	-0.62520266
"9, 19, 7"	2	3.8528993	180	7.603606	-2.6348503
"9, 3"	2	5.7667584	240	-4.836531	-6.4315805
"1, 10, 2"	1	3.9121747	180	7.807996	1.9474224
"1, 10, 4"	1	3.97145	180	1.2272989	7.8497705
"1, 10, 4, 3"	1	4.3791904	125	3.1471276	-7.2952557
"1, 19, 3"	1	4.0307255	180	-2.8410757	-7.419801
"1, 8, 10, 4, 14"	1	5.3855877	70	-1.1320744	-7.864068
"1, 9, 2"	1	4.0900006	180	0.5719364	-7.817843
"10, 11, 19"	1	4.149276	180	7.1474724	-3.2186048
"10, 14"	1	5.809794	240	-3.9168916	6.6613703
"10, 15, 7"	1	4.208551	180	-2.635127	-7.264434
"10, 18, 11"	1	4.267826	180	7.6458273	1.1212572
"10, 18, 19, 6"	1	4.56959	125	6.701283	3.8482077
"10, 2, 3"	1	4.327101	180	0.9207731	-7.5554066
"10, 9, 7"	1	4.3863764	180	4.777828	-5.924891
"11, 3"	1	5.8528295	240	4.5283837	6.1176567
"12, 1, 2, 3"	1	4.7599897	125	6.0897965	-4.5657806
"12, 10, 19"	1	4.4456515	180	-0.6668431	7.5820384
"12, 11, 19"	1	4.5049267	180	4.1485405	6.2353578
"12, 17, 9"	1	4.564202	180	7.0437775	-2.5446565
"12, 2, 11"	1	4.623477	180	1.1338686	-7.4030004
"13, 1, 4"	1	4.682752	180	4.090415	6.2736416
"13, 1, 4, 3"	1	4.9503894	125	1.2435318	-7.385371
"13, 10, 14"	1	4.7420273	180	-2.4260745	-7.085495
"13, 10, 15"	1	4.8013024	180	6.8443446	3.0405633
"13, 10, 18"	1	4.8605776	180	6.6972723	-3.3521068
"13, 10, 3"	1	4.9198527	180	7.244534	1.8991586
"13, 10, 6"	1	4.979128	180	6.0906634	-4.358198
"13, 10, 9, 11"	1	5.140789	125	-4.1798687	-6.0592456
"13, 12, 10, 18, 6"	1	5.834387	70	-6.016124	4.241699
"13, 12, 10, 19"	1	5.3311887	125	-6.871228	-2.64045
"13, 12, 11"	1	5.038403	180	7.3537536	-0.32872647
"13, 12, 17"	1	5.097678	180	6.4145255	3.6110415
"13, 14"	1	5.895865	240	7.0533075	-2.1063254
"13, 17, 11"	1	5.1569533	180	4.852171	5.5355387
"13, 17, 6"	1	5.2162285	180	7.13754	1.8003552
"13, 5, 12, 10, 11, 6"	1	6.2831855	15	7.361012	-0.03535576
"13, 5, 19"	1	5.2755036	180	6.383781	3.6651187
"13, 5, 8"	1	5.334779	180	4.9681706	5.431669
"13, 6, 16"	1	5.394054	180	-3.9699972	-6.037647
"13, 6, 7"	1	5.453329	180	-6.691846	-2.7264006
"14, 7"	1	5.9389005	240	-2.715256	-6.696375
"15, 19"	1	5.981936	240	1.497361	-7.069085
"17, 4"	1	6.0249715	240	4.1165943	-5.9386616
"18, 11, 16"	1	5.512604	180	3.5126407	6.150668
"18, 2, 3"	1	5.5718794	180	-2.5321267	-6.61496
"20, 10, 6"	1	5.6311545	180	-2.673953	-6.558913
"20, 11"	1	6.068007	240	1.9267387	6.81594
"20, 15"	1	6.1110425	240	6.533926	2.7344432
"20, 18"	1	6.154078	240	7.059746	0.57389957
"20, 19"	1	6.1971135	240	5.241093	4.764484
"3, 7"	1	6.240149	240	6.9230022	-1.4971327
"4, 6"	1	6.2831845	240	3.1616838	6.3382273
"5, 1, 2, 3"	1	5.5215883	125	-6.831782	-1.1713507
"5, 1, 4"	1	5.6904297	180	1.8255566	6.686751
"5, 10, 11"	1	5.749705	180	3.1796603	6.159145
"5, 10, 19"	1	5.80898	180	5.988244	-3.4908798
"5, 12, 17, 19"	1	5.711988	125	3.2689686	-6.112212
"5, 12, 18"	1	5.868255	180	6.5543456	-2.2551854
"5, 12, 19"	1	5.9275303	180	6.656211	1.9339479
"5, 12, 3"	1	5.9868054	180	5.9371924	3.5770156
"5, 20, 6"	1	6.0460806	180	6.80458	-1.3202264
"5, 8, 4"	1	6.1053557	180	4.687125	5.1064825
"8, 10, 4, 14, 3"	1	6.283186	70	2.9223614	6.106914
"8, 10, 4, 3"	1	5.9023876	125	4.0473056	5.4271464
"8, 2, 14, 3"	1	6.0927873	125	2.8266706	6.151791
"8, 2, 6"	1	6.164631	180	4.485202	-5.0712485
"8, 4, 16, 7"	1	6.283187	125	-2.3222048	6.3593993
"9, 11, 7"	1	6.223906	180	6.5156274	-1.8388028
"9, 6, 7"	1	6.283181	180	-6.763814	0.29225847
				-5.489147	3.9628096
				-6.64816	-1.279281
				6.7601123	0.36807367
				6.408945	-2.1817472
				1.4003937	6.623707
				-5.1973376	4.0640597
				4.598767	4.730776
				1.1892527	6.4895744
				3.4844747	-5.6024404
				6.5387077	0.8798841
				4.421341	4.8970037
				6.246874	2.1226082
				0.9988697	6.5215917
				6.253106	2.1041765
				-6.31376	-1.9145063
				-3.2381723	-5.7483163
				5.544139	3.576509
				3.1705966	5.573674
				6.4123206	-0.025966546
				1.8032305	-6.153608
				4.0252256	4.9916015
				-6.050134	1.4100137
				5.8783484	-2.0092986
				-2.118394	5.83992
				4.687651	-4.0765414
				5.1352005	3.495994
				6.1751895	-0.6777163
				6.1874557	0.55466765
				3.5743768	-5.080954
				0.92602664	-5.922784
				4.1306586	4.3444858
				-5.9936147	0.11607601
				-4.7646894	3.6379423
				-5.7283278	1.7672439
				-0.59752345	-5.9648848
				1.7728359	-5.7265997
				2.9208064	-5.235053
				-2.6133723	-5.12905
				-5.101888	-2.6660085
				5.1936464	2.4825203
				-1.1448288	-5.6414747
				0.6230957	5.722641
				-5.6494284	-1.1049087
				-1.5099192	5.5549083
				-0.98963404	5.6707573
				2.1816282	5.327041
				-1.0769798	5.654819
				5.607433	-1.3013703
				-1.1657972	5.637179
				3.2077062	-4.7799044
				5.662122	1.0379052
				4.9452085	2.9464865
				0.96233267	5.4081087
				5.056013	2.1471968
				5.4568186	0.6299619
				5.4246984	-0.8639283
				2.7958856	4.7282925
				-0.25684416	5.4870534
				5.4038734	-0.98583764
				0.64211565	5.4554024
				-2.4031131	4.939512
				5.0233817	2.222468
				4.393593	-3.2969787
				-4.4945745	3.1579301
				4.4929957	3.1601763
				-4.5032845	3.145498
				5.474951	0.4456898
				2.1110637	5.0712066
				4.333389	-3.3757174
				-1.8219578	5.182103
				-3.6838658	4.0746603
				-1.912641	5.1493235
				4.2139864	-3.5236402
				-2.0034082	5.1146927
				5.1780777	1.8333681
				0.742395	5.1453214
				-3.6454515	3.7062328
				-2.2582793	-4.6824837
				-4.5644493	-2.4882283
				-3.1453335	-4.139125
				-5.1678104	-0.5649892
				-2.9155574	4.304068
				-5.182753	-0.40564993
				-2.1533544	4.731653
				-4.463262	2.6654775
				4.7744308	2.0567663
				4.949154	-1.5910246
				4.3959913	-2.7750208
				3.0475469	4.211643
				-2.3238306	4.6503
				-1.4587295	4.9897485
				-5.198061	-0.07513762
				-3.540716	3.8064167
				2.8825479	-4.326245
				3.791659	-3.5565152
				2.0530257	-4.776041
				2.9704223	-4.2663884
				-1.7280015	-4.547532
				-4.1137013	-2.5968246
				-4.523846	1.7890923
				-0.97177196	-4.7667284
				-2.8403687	3.9494736
				0.5607369	4.8323507
				-4.853672	-0.32848766
				-3.9895415	-2.7838097
				4.863778	-0.09849359
				-3.0671313	3.7760751
				-3.7217264	3.1328566
				-3.753828	-2.4441338
				1.1167481	-4.337959
				0.24865335	-4.4724917
				-3.7214727	-2.4931216
				4.3365283	-1.122289
				3.9700413	-2.0745559
				-1.6823764	4.15146
				-3.691189	-2.5377424
				-3.9482121	2.1158056
				-4.478816	-0.07223546
				0.04283878	4.4791937
				3.976965	-2.0612526
				-1.5766729	4.192745
				-4.351081	1.0644763
				2.8241606	3.4769425
				-4.363542	1.0121818
				0.5676442	4.4432864
				-4.196706	-1.5661011
				0.48309344	4.4532723
				-3.183153	3.1515946
				-4.3882766	0.8989109
				-2.6407757	3.6181924
				-4.4002223	0.8384859
				-4.4771876	0.1407318
				-4.238661	-1.4487112
				3.553461	-2.7272565
				1.4910313	3.73713
				3.898601	0.99510115
				2.3736682	3.2488482
				1.5953074	-3.6938202
				1.8220192	3.587417
				3.2357736	2.3914614
				0.57706994	-3.9819977
				1.3554498	3.7884126
				2.9345388	2.7527797
				2.2242982	3.3528812
				1.6601616	-3.6651304
				-3.4046426	2.1442306
				-3.9627824	0.69690025
				-3.249706	-2.3724935
				3.9511094	-0.7602959
				-0.13732754	-4.0212507
				-0.18265347	4.019447
				-3.2347674	-2.3928216
				-1.7010775	-3.6463203
				0.102236174	4.022296
				-1.6397167	-3.6743224
				0.031112295	-4.0234747
				-1.2579875	3.8218822
				0.12998715	4.0214944
				0.35252103	4.0081224
				3.431442	-2.1010761
				2.9494247	-2.736825
				-0.653121	-3.9702327
				-3.2202327	-2.4123468
				3.9958503	-0.47169647
				-1.5415695	-3.7165682
				-0.46461248	3.9966798
				-3.9909384	-0.5115908
				-1.8937607	3.5500684
				-0.37608725	-4.0059795
				-0.58141917	-3.981365
				0.74643487	3.9537516
				0.27640808	-4.0140896
				-0.5115913	-3.990939
				-1.4172708	-3.7657218
				3.263881	2.3529546
				-3.981702	0.5791071
				-1.9702909	3.5081718
				-3.9901266	0.51788497
				3.8767364	-1.0771407
				-3.9977522	0.4552918
				3.3233414	2.2681973
				4.0166526	-0.2362607
				3.2457697	2.3778765
				1.2491221	-3.8247888
				-3.2017486	2.4368258
				3.3092015	2.2887774
				-3.337113	2.2478862
				1.1065155	3.8684542
				-3.3024185	-2.2985535
				-2.7806556	2.9081385
				-1.4359962	-3.7586207
				-3.1246972	2.5348732
				-4.016909	-0.23185216
				3.286409	-2.3213859
				3.9351296	0.8390888
				-3.4024465	-2.1477137
				3.6605775	1.6701754
				3.9180288	0.9156244
				3.6315444	1.7323978
				2.894466	-2.7948852
				3.2922168	2.313142
				0.40287206	4.0033746
				2.0329294	2.8068707
				-3.0540934	-1.6382424
				3.4242468	-0.5346588
				-0.94506025	3.3343945
				2.0850735	-2.7683556
				0.78751785	3.3750763
				3.3534744	0.874949
				2.4687703	2.4323857
				1.7168355	3.0106146
				0.78751785	-3.3750763
				1.0291412	3.3094099
				2.397769	2.5024047
				3.432579	0.47825462
				1.4424802	-3.1512814
				0.6498715	3.4042609
				2.8712168	1.9409889
				-3.4376073	0.4406595
				3.267809	1.1544478
				3.4536726	0.28891143
				0.42321855	3.4397984
				2.697144	2.176405
				3.1626313	1.4174227
				3.4226036	0.5450778
				0.60716426	-3.4121368
				-3.127509	-1.493322
				1.4619573	-3.1422932
				2.595355	-2.2968366
				-0.076233484	3.4648976
				2.644196	-2.240436
				3.034464	-1.6743224
				1.1111039	3.2827995
				1.9466418	2.8673875
				3.445123	0.3774292
				-1.5720435	3.0886898
				-1.7307951	-3.0026114
				1.0955433	3.2880254
				2.7371764	-2.1258388
				3.1050313	-1.539515
				1.0737209	3.2952156
				3.4254093	0.52715904
				2.4843364	2.4164846
				-1.479221	-3.1342034
				-3.2364664	1.2396015
				-0.82158804	3.366945
				1.3988309	-3.1708987
				-3.4094644	-0.6219943
				-2.1376283	2.7279794
				-2.3485212	-2.5486808
				-0.7386695	3.3861032
				-3.3700826	0.80862147
				-3.451574	-0.31298974
				-1.5916362	3.0786395
				0.045797467	-3.4654334
				2.8236759	-2.0095222
				3.169059	-1.4029933
				0.052321617	-3.4653409
				2.864423	1.9510012
				2.3946452	2.5053942
				0.05000491	-3.4653752
				-1.1068342	3.2842417
				-3.4522035	0.30597007
				-1.8627131	-2.922606
				-1.7698606	2.9797513
				-3.180323	1.3772697
				-0.9351027	3.3372006
				0.03758072	-3.4655323
				3.137869	1.4714296
				-3.413528	0.59929335
				-3.4657197	-0.010577301
				3.4653032	-0.0547624
				-3.4197567	0.562663
				-1.9312302	-2.87779
				-3.0203288	-1.6996878
				2.9764173	-1.7754617
				3.2771022	-1.127797
				3.3256726	0.97530824
				-0.016679035	3.4656959
				2.1928449	2.683795
				3.303178	1.0489708
				3.4444509	0.38351402
				1.9793698	-2.8448937
				-3.0425456	1.659591
				-0.09460106	-3.4644444
				-2.0799582	2.772201
				3.072701	-1.6030706
				3.340615	-0.92283124
				2.5449915	2.352518
				2.0237918	2.8134663
				2.032931	-2.8068695
				-1.0543921	3.3014514
				0.62547165	3.4088283
				3.1280441	-1.4922018
				-2.7482932	2.111447
				-0.7172378	3.3907073
				-2.7881715	2.0585005
				-0.13751473	3.4630067
				0.49382088	3.430374
				-3.3431716	0.91352624
				2.8744833	1.9361489
				3.397658	0.6835526
				1.9035548	2.8961704
				2.830755	1.9995378
				-2.6914794	-2.1834068
				2.3852117	2.5143766
				3.463162	0.13354422
				0.95309436	-3.3321068
				3.4144554	-0.59398764
				3.1915886	1.3509578
				-0.8979374	3.347392
				0.9313439	2.8517709
				-2.4368496	1.7497898
				2.684861	1.3384773
				0.8715552	2.870608
				-2.418606	1.7749214
				1.9159201	2.308517
				0.45398417	2.9654508
				-2.729805	1.2442526
				1.6878185	2.480175
				1.1005694	2.7908328
				0.81080604	2.8883548
				0.5565336	-2.9479263
				1.3678244	2.6700292
				-0.12678432	2.9973197
				2.0414407	2.1982992
				-2.932219	0.6341062
				1.3777473	2.6649227
				2.917201	0.69995683
				0.7491708	2.9049516
				2.979313	0.35170174
				2.5916595	1.5110595
				-2.4002962	1.7996047
				-0.5416559	2.9506965
				0.262828	-2.9884646
				-2.9217658	0.68064994
				1.830895	2.376515
				-2.404106	1.7945125
				2.4518588	-1.7286955
				2.9924212	-0.21311246
				-2.4118497	1.7840908
				-2.8512266	0.93300915
				-0.6540626	2.9278324
				-2.7297294	1.2444187
				-2.9839077	0.31031364
				-0.8881751	-2.8655095
				0.657948	-2.9269617
				-2.4229882	1.7689342
				2.4535608	1.7262794
				1.0653499	2.8044658
				-2.4370315	1.7495363
				2.936	0.6163638
				2.9985862	-0.09208903
				-2.2265434	2.0105977
